,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,type
ABCB7,0.31966808,0.0,0.2088365,0.0,0.0,0.0,0.12552615,0.0,0.0,0.0,0.0,0.0910982,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12886618,0.0,0.09859743,0.0,0.17369421,0.0,0.14665015,0.0,0.13314629,0.0,0.0,0.030824952,0.0,0.0,0.0,0.0,0.33984962,0.3093663,0.0,0.2756881,0.29062632,0.2553348,0.0,0.1791156,0.0,0.0,0.0,0.13172357,0.0,0.2827336,0.0,0.0,0.0,0.13419722,0.0,0.04784978,0.0,0.15428017,0.21428645,0.0,0.2778521,0.0,0.0,0.0,0.0,0
ABCB8,0.2661509,0.0,0.27913198,0.0,0.0,0.0,0.1413657,0.0,0.0,0.0,0.0,0.043193817,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12626489,0.0,0.08394746,0.0,0.1983655,0.0,0.062998384,0.0,0.20061588,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34016317,0.2977777,0.0,0.27660808,0.289785,0.25206384,0.0,0.18221349,0.0,0.0,0.0,0.13758379,0.0,0.28092426,0.0,0.0,0.0,0.13380608,0.0,0.036681093,0.0,0.15470976,0.21571532,0.0,0.27142465,0.0,0.0,0.0,0.0,0
ABCC1,0.32154295,0.0,0.19502741,0.0,0.0,0.0,0.14625283,0.0,0.0,0.0,0.0,0.070319906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09534531,0.0,0.09820286,0.0,0.15324932,0.0,0.16187693,0.0,0.19711292,0.0,0.0,0.060307093,0.0,0.0,0.0,0.0,0.33699796,0.3137117,0.0,0.27249676,0.29434717,0.2548067,0.0,0.17590673,0.0,0.0,0.0,0.11488695,0.0,0.28399697,0.0,0.0,0.0,0.1172258,0.0,0.060915604,0.0,0.14559159,0.20976478,0.0,0.27581522,0.0,0.0,0.0,0.0,0
ABCC10,0.38008264,0.0,0.14550915,0.0,0.0,0.0,0.15619893,0.0,0.0,0.0,0.0,0.11611133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13164358,0.0,0.11517589,0.0,0.29542997,0.0,0.07235176,0.0,0.2147066,0.0,0.0,0.0041239206,0.0,0.0,0.0,0.0,0.3201662,0.2933808,0.0,0.24973752,0.27198216,0.24595352,0.0,0.156375,0.0,0.0,0.0,0.100210406,0.0,0.26969817,0.0,0.0,0.0,0.1014706,0.0,0.0673029,0.0,0.12938099,0.19581671,0.0,0.25436637,0.0,0.0,0.0,0.0,0
ABCC2,0.33806762,0.0,0.20082445,0.058156475,0.0,0.0,0.15417282,0.0,0.0,0.0,0.0,0.07354537,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14250425,0.0,0.056026716,0.0,0.17416146,0.0,0.115489535,0.0,0.14644714,0.0,0.0,0.028684506,0.0,0.0,0.0,0.0,0.3421165,0.30837703,0.0,0.27205256,0.29266062,0.25536472,0.0,0.17400478,0.0,0.0,0.0,0.121577084,0.0,0.28654197,0.0,0.0,0.0,0.11943593,0.0,0.052075766,0.0,0.14955938,0.2142624,0.0,0.27203178,0.0,0.0,0.0,0.0,0
ABCC3,0.27502793,0.0,0.13360928,0.02486323,0.0,0.0,0.2163289,0.0,0.0,0.0,0.0,0.10148999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027961573,0.0,0.16090296,0.0,0.12854299,0.0,0.18164964,0.0,0.22222057,0.0,0.023726368,0.0,0.0,0.0,0.0,0.0,0.34411,0.31390572,0.0,0.26618314,0.29555103,0.26791397,0.0,0.17196557,0.0,0.0,0.0,0.1036987,0.0,0.2906712,0.0,0.0,0.0,0.10320846,0.0,0.07261712,0.0,0.13487145,0.2094214,0.0,0.27006796,0.0,0.0,0.0,0.0,0
ABCC4,0.3232323,0.0,0.18783711,0.0,0.0,0.0,0.22896667,0.0,0.0,0.0,0.0,0.08303891,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.093036,0.0,0.0,0.0,0.17558733,0.0,0.10460718,0.0,0.16327515,0.0,0.0,0.07629433,0.0,0.0,0.0,0.0,0.32646114,0.27620798,0.0,0.28898048,0.24843241,0.23443332,0.0,0.22414346,0.0,0.0,0.0,0.14274004,0.0,0.27502024,0.0,0.0,0.0,0.18108469,0.0,0.06463074,0.0,0.18436633,0.21641997,0.0,0.2662792,0.0,0.0,0.0,0.0,0
ABCC5,0.3332655,0.0,0.18952301,0.12138976,0.0,0.0,0.22238609,0.0,0.0,0.0,0.0,0.038190708,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10049127,0.0,0.04714724,0.0,0.12511252,0.0,0.15965748,0.0,0.2011575,0.0,0.0,0.04842954,0.0,0.0,0.0,0.0,0.3313139,0.3108303,0.0,0.26581624,0.2855629,0.2547413,0.0,0.1665603,0.0,0.0,0.0,0.105743326,0.0,0.2812567,0.0,0.0,0.0,0.11263881,0.0,0.0673476,0.0,0.13684428,0.19984955,0.0,0.27145913,0.0,0.0,0.0,0.0,0
ABCD1,0.10639092,0.0,0.03030772,0.0,0.0,0.0,0.082682274,0.0,0.0,0.0,0.0,0.018592352,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.038791783,0.0,0.0,0.0,0.09461097,0.0,0.0,0.0,0.06438546,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33631715,0.34779388,0.0,0.33614805,0.35184205,0.21930215,0.0,0.22872266,0.0,0.0,0.0,0.1470702,0.0,0.32508394,0.0,0.0,0.0,0.18937325,0.004706625,0.06476855,0.0,0.20825727,0.24775723,0.0,0.3501,0.0,0.0,0.0,0.0,0
ABCD2,0.050176714,0.0,0.09976031,0.0,0.0,0.0,0.12740394,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11519415,0.0,0.0,0.0,0.09523682,0.0,0.0,0.0,0.00013922401,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31895417,0.34210595,0.0,0.3338684,0.359224,0.20300901,0.0,0.2363744,0.0,0.0,0.0,0.14190492,0.0,0.32299703,0.0,0.0,0.0,0.19643822,0.026183462,0.05891394,0.0,0.21377458,0.24952468,0.0,0.34267247,0.0,0.0,0.0,0.0,0
